"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW15,SW8,SW1,SW3,SW18,SW7,SW10,SW16,SW12,SW11,SW17,SW19,SW9,SW13,SW4,SW2,SW5,SW20,SW6,SW14";"Combo_MechanicalSwitch";20;"SW_Push";;;
2;"Q3,Q2,Q5";"SOT-23";3;"BSS138";;;
3;"C2";"C_0805_2012Metric";1;"100n";;;
4;"R13,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1M";;;
5;"R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5k6";;;
6;"R11,R2,R12,R6,R9,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"100k";;;
7;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220k";;;
8;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
9;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"33k";;;
10;"BZ1";"MagneticBuzzer_CUI_CMT-8504-100-SMT";1;"Buzzer";;;
11;"C3";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"22u";;;
12;"D23,D22,D25,D26,D24,D1,D9,D18,D3,D4,D2,D12,D20,D15,D13,D8,D17,D14,D16,D11,D5,D19,D6,D7,D10";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";25;"D";;;
13;"L1";"L_Chilisin_BMRA00050530";1;"2u2";;;
14;"R19,R8,R18,R20,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"47k";;;
15;"SW21";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Encoder";;;
16;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22u";;;
17;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
18;"C5,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1u";;;
19;"C1";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"10u";;;
20;"Q1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"Q_Dual_PMOS_S1G1S2G2D2D2D1D1";;;
21;"D21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"BAT_REV";;;
22;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2k";;;
23;"U5";"SOT-23-3";1;"XC6206PxxxMR";;;
24;"C6";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"22u";;;
25;"C7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100n";;;
26;"J3";"PinSocket_1x12_P2.54mm_Vertical";1;"SK_CART";;;
27;"U1";"ESP32-WROOM-32-min";1;"ESP32-WROOM-32D";;;
28;"J1";"microSD_Short_1";1;"Micro_SD_Card_Det2";;;
29;"J2";"Jack_3.5mm_PJ320D_Horizontal";1;"AudioJack3";;;
30;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470k";;;
31;"U4";"Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias";1;"~";;;
32;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"74HC595";;;
33;"J4";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
34;"U3";"ST7789 1.9inch module Display (BL_NO_HOLE)";1;"ISP Display";;;
35;"U6";"SOT-23-5_HandSoldering";1;"~";;;
36;"BT1";"LiIon18650";1;"Battery";;;
